Repository,Age (days),Created Date,Accepted PRs,Releases,Days Since Update,Primary Language,Closed Issues Ratio
lyswhut/lx-music-desktop,2199,2019-08-14,86,110,0,TypeScript,0.56
bigskysoftware/htmx,1956,2020-04-13,956,26,0,JavaScript,0.64
jesseduffield/lazydocker,2287,2019-05-18,186,42,0,Go,0.53
pixijs/pixijs,4595,2013-01-21,3677,293,0,TypeScript,0.96
kelseyhightower/kubernetes-the-hard-way,3332,2016-07-07,73,0,0,Unknown,0.97
jakevdp/PythonDataScienceHandbook,3298,2016-08-10,28,0,0,Jupyter Notebook,0.38
brillout/awesome-react-components,3345,2016-06-24,324,0,0,Unknown,0.85
android/architecture-samples,3485,2016-02-05,232,0,0,Kotlin,0.72
skylot/jadx,4539,2013-03-18,577,31,0,Java,0.8
odoo/odoo,4118,2014-05-13,6181,0,0,Python,0.82
typst/typst,2158,2019-09-24,1820,22,0,Rust,0.74
jestjs/jest,4272,2013-12-10,5701,208,0,TypeScript,0.97
Asabeneh/30-Days-Of-JavaScript,2068,2019-12-23,98,0,0,JavaScript,0.34
ColorlibHQ/AdminLTE,4257,2013-12-25,1545,77,0,CSS,0.95
serhii-londar/open-source-mac-os-apps,2848,2017-11-03,525,0,0,Unknown,0.76
dbeaver/dbeaver,3592,2015-10-21,6106,230,0,Java,0.84
discourse/discourse,4604,2013-01-12,30058,0,0,Ruby,0
akullpp/awesome-java,4061,2014-07-09,715,0,0,Unknown,1.0
oobabooga/text-generation-webui,974,2022-12-21,1183,80,0,Python,0.36
meteor/meteor,4963,2012-01-19,2534,0,0,JavaScript,0.97
dypsilon/frontend-dev-bookmarks,4443,2013-06-22,129,1,0,Unknown,0.77
ultralytics/ultralytics,1075,2022-09-11,3510,257,0,Python,0.98
Homebrew/brew,3455,2016-03-06,12993,441,0,Ruby,1.0
google/zx,1569,2021-05-05,552,96,0,JavaScript,0.97
unslothai/unsloth,631,2023-11-29,481,16,0,Python,0.71
coollabsio/coolify,1669,2021-01-25,1646,619,0,PHP,0.8
termux/termux-app,3590,2015-10-23,162,95,0,Java,0.86
vercel/hyper,3338,2016-07-01,3291,88,0,TypeScript,0.75
isocpp/CppCoreGuidelines,3655,2015-08-19,812,4,0,CSS,0.8
2dust/v2rayNG,2290,2019-05-15,498,256,0,Kotlin,1.0
parcel-bundler/parcel,2936,2017-08-07,2591,48,0,JavaScript,0.91
run-llama/llama_index,1023,2022-11-02,7012,404,0,Python,0.97
DovAmir/awesome-design-patterns,2635,2018-06-04,30,0,0,Unknown,0.33
usememos/memos,1352,2021-12-08,1796,80,0,Go,0.99
astaxie/build-web-application-with-golang,4767,2012-08-02,757,0,0,Go,0.6
karpathy/nanoGPT,967,2022-12-28,45,0,0,Python,0.32
acmesh-official/acme.sh,3526,2015-12-26,1422,44,0,Shell,0.68
react-hook-form/react-hook-form,2361,2019-03-05,2071,585,0,TypeScript,0.98
babel/babel,3980,2014-09-28,6282,442,0,TypeScript,0.93
aymericdamien/TensorFlow-Examples,3571,2015-11-11,88,0,0,Jupyter Notebook,0.3
square/retrofit,5463,2010-09-06,1185,4,0,HTML,0.95
microsoft/monaco-editor,3362,2016-06-07,467,91,0,JavaScript,0.82
jeecgboot/JeecgBoot,2460,2018-11-26,122,61,0,Java,1.0
FuelLabs/fuels-rs,1390,2021-10-31,899,117,0,Rust,0.93
FuelLabs/fuels-ts,1448,2021-09-03,1969,154,1,TypeScript,0.96
LeCoupa/awesome-cheatsheets,2842,2017-11-09,169,0,0,JavaScript,0.61
prisma/prisma,2254,2019-06-20,6348,223,0,TypeScript,0.8
grpc/grpc,3909,2014-12-08,20029,355,0,C++,0.94
yangshun/front-end-interview-handbook,2777,2018-01-13,346,0,0,MDX,0.9
Leaflet/Leaflet,5447,2010-09-22,3115,33,0,JavaScript,0.93
streamich/react-use,2490,2018-10-27,1532,256,0,TypeScript,0.41
metabase/metabase,3853,2015-02-02,34066,676,0,Clojure,0.84
RocketChat/Rocket.Chat,3747,2015-05-19,14476,1000,0,TypeScript,0.84
pyenv/pyenv,4738,2012-08-31,974,132,0,Roff,0.97
GitSquared/edex-ui,3127,2017-01-28,399,29,0,JavaScript,0.99
FlowiseAI/Flowise,874,2023-03-31,1329,73,0,TypeScript,0.72
jellyfin/jellyfin,2447,2018-12-09,4816,91,0,C#,0.95
sudheerj/reactjs-interview-questions,2639,2018-05-31,162,0,0,JavaScript,0.97
expo/expo,3293,2016-08-15,17920,0,0,TypeScript,0.97
ggml-org/whisper.cpp,1061,2022-09-25,863,27,0,C++,0.48
coreybutler/nvm-windows,3988,2014-09-20,107,23,0,Go,0.91
Unitech/pm2,4475,2013-05-21,551,128,0,JavaScript,0.8
ClickHouse/ClickHouse,3367,2016-06-02,50414,672,0,C++,0.82
k88hudson/git-flight-rules,4048,2014-07-22,225,0,0,Unknown,0.75
opendatalab/MinerU,539,2024-02-29,1025,121,0,Python,0.92
GokuMohandas/Made-With-ML,2481,2018-11-05,147,0,0,Jupyter Notebook,0.78
alex/what-happens-when,4305,2013-11-07,108,0,0,Unknown,0.18
coqui-ai/TTS,1919,2020-05-20,465,98,0,Python,1.0
Alamofire/Alamofire,4039,2014-07-31,650,102,0,Swift,0.98
faif/python-patterns,4824,2012-06-06,273,0,0,Python,0.89
Light-City/CPlusPlusThings,2230,2019-07-14,72,0,0,C++,0.96
astral-sh/ruff,1108,2022-08-09,11176,376,0,Rust,0.79
getsentry/sentry,5470,2010-08-30,72741,154,0,Python,0.86
apache/spark,4195,2014-02-25,8,0,0,Scala,0
apache/airflow,3783,2015-04-13,29326,103,0,Python,0.9
iina/iina,3167,2016-12-19,851,45,0,Swift,0.58
Stability-AI/stablediffusion,1001,2022-11-23,17,0,0,Python,0.23
Kong/kong,3930,2014-11-17,6478,145,0,Lua,0.99
NaiboWang/EasySpider,1860,2020-07-18,40,10,0,JavaScript,0.68
yarnpkg/yarn,3502,2016-01-19,1654,152,0,JavaScript,0.72
freqtrade/freqtrade,3018,2017-05-17,5895,100,0,Python,0.99
spf13/cobra,4370,2013-09-03,614,24,0,Go,0.81
tldraw/tldraw,1565,2021-05-09,3556,80,0,TypeScript,0.87
mingrammer/diagrams,2027,2020-02-02,328,44,0,Python,0.42
nolimits4web/swiper,4908,2012-03-14,604,87,0,JavaScript,0.96
apachecn/ailearning,3099,2017-02-25,478,2,0,Python,0.97
apache/dubbo,4811,2012-06-19,5786,111,0,Java,0.89
bevyengine/bevy,2042,2020-01-18,6189,43,0,Rust,0.67
bailicangdu/vue2-elm,3163,2016-12-23,21,0,0,Vue,0.81
tw93/Pake,1042,2022-10-14,100,31,0,Rust,0.88
zai-org/ChatGLM-6B,892,2023-03-13,48,0,0,Python,0.57
hpcaitech/ColossalAI,1393,2021-10-28,3699,50,0,Python,0.75
dcloudio/uni-app,2597,2018-07-12,458,0,0,JavaScript,0.86
AykutSarac/jsoncrack.com,1299,2022-01-30,85,22,0,TypeScript,0.88
nwjs/nw.js,4978,2012-01-04,575,0,0,JavaScript,0.88
KRTirtho/spotube,1649,2021-02-14,246,40,0,Dart,0.58
streamlit/streamlit,2189,2019-08-24,5660,105,0,Python,0.79
docker/awesome-compose,2016,2020-02-13,149,0,0,HTML,0.31
styled-components/styled-components,3292,2016-08-16,966,176,0,TypeScript,0.9
psf/black,2717,2018-03-14,1585,46,0,Python,0.88
vuetifyjs/vuetify,3265,2016-09-12,4387,605,0,TypeScript,0.97
hexojs/hexo,4715,2012-09-23,945,114,0,TypeScript,0.98
ziglang/zig,3668,2015-08-06,9176,20,0,Zig,0.74
1c7/chinese-independent-developer,2891,2017-09-21,314,0,0,Unknown,0.99
zhongyang219/TrafficMonitor,2944,2017-07-30,63,26,0,C++,0.38
fastlane/fastlane,3915,2014-12-02,6234,552,0,Ruby,0.95
cli/cli,2149,2019-10-03,2605,175,0,Go,0.84
bannedbook/fanqiang,3872,2015-01-14,3,3,0,Kotlin,0.59
mitmproxy/mitmproxy,5665,2010-02-16,2632,76,0,Python,0.91
SimplifyJobs/Summer2026-Internships,1916,2020-05-23,1673,0,0,Unknown,1.0
dylanaraps/pure-bash-bible,2626,2018-06-13,28,0,0,Shell,0.43
tabler/tabler,2758,2018-02-01,722,51,0,HTML,0.92
chubin/cheat.sh,3028,2017-05-07,129,0,0,Python,0.52
LC044/WeChatMsg,953,2023-01-11,62,0,0,Unknown,0
deepspeedai/DeepSpeed,2037,2020-01-23,2747,98,0,Python,0.66
penpot/penpot,3523,2015-12-29,4515,59,0,Clojure,0.74
GitHubDaily/GitHubDaily,2426,2018-12-30,3,0,0,Unknown,0.31
microsoft/AI-For-Beginners,1632,2021-03-03,171,0,0,Jupyter Notebook,0.8
colinhacks/zod,1993,2020-03-07,840,179,0,TypeScript,0.93
bradtraversy/50projects50days,1739,2020-11-16,44,0,0,CSS,0
gradio-app/gradio,2437,2018-12-19,4750,1000,0,Python,0.93
chakra-ui/chakra-ui,2196,2019-08-17,2811,1000,0,TypeScript,1.0
helix-editor/helix,1907,2020-06-01,4247,30,0,Rust,0.84
lukasz-madon/awesome-remote-job,3884,2015-01-02,592,0,0,Unknown,0.95
slidevjs/slidev,1580,2021-04-24,711,394,0,TypeScript,0.88
virattt/ai-hedge-fund,265,2024-11-29,33,0,0,Python,0.91
google-research/bert,2492,2018-10-25,32,0,0,Python,0.31
wg/wrk,4902,2012-03-20,0,0,0,C,0.65
php/php-src,5180,2011-06-16,4257,23,0,C,0.81
QSCTech/zju-icicles,3341,2016-06-28,224,0,0,HTML,0.88
harry0703/MoneyPrinterTurbo,528,2024-03-11,136,9,0,Python,0.69
gedoor/legado,2283,2019-05-22,1134,115,0,Kotlin,0.99
evanw/esbuild,3355,2016-06-14,246,301,0,Go,0.86
sharkdp/fd,3026,2017-05-09,651,40,0,Rust,0.86
floodsung/Deep-Learning-Papers-Reading-Roadmap,3233,2016-10-14,28,0,0,Python,0.09
upscayl/upscayl,1118,2022-07-30,100,29,0,TypeScript,0.94
byoungd/English-level-up-tips,3005,2017-05-30,26,0,0,HTML,0.71
ChrisTitusTech/winutil,1211,2022-04-28,846,22,0,PowerShell,0.9
videojs/video.js,5578,2010-05-14,1801,332,0,JavaScript,0.89
lm-sys/FastChat,886,2023-03-19,849,14,0,Python,0.56
Dogfalo/materialize,3996,2014-09-12,449,41,0,JavaScript,0.88
pingcap/tidb,3637,2015-09-06,33094,210,0,Go,0.81
jgm/pandoc,5633,2010-03-20,1684,147,0,Haskell,0.88
vim/vim,3656,2015-08-18,440,0,0,Vim Script,0.83
go-gorm/gorm,4318,2013-10-25,753,5,0,Go,0.92
tmux/tmux,3732,2015-06-03,1,37,0,C,0.98
curl/curl,5635,2010-03-18,198,91,0,C,1.0
mem0ai/mem0,793,2023-06-20,1667,265,0,Python,0.67
ray-project/ray,3222,2016-10-25,27154,108,0,Python,0.87
remoteintech/remote-jobs,3600,2015-10-13,1283,0,0,JavaScript,0.88
zhayujie/chatgpt-on-wechat,1110,2022-08-07,261,63,0,Python,0.85
aria2/aria2,5381,2010-11-27,253,24,0,C++,0.44
google/styleguide,3746,2015-05-20,194,0,0,HTML,0.67
suno-ai/bark,867,2023-04-07,19,0,0,Jupyter Notebook,0.51
DIYgod/RSSHub,2698,2018-04-02,11056,0,0,TypeScript,0.94
saadeghi/daisyui,1727,2020-11-28,426,100,0,Svelte,0.98
QuivrHQ/quivr,832,2023-05-12,1819,354,0,Python,1.0
phaserjs/phaser,4514,2013-04-12,1729,171,0,JavaScript,0.98
trpc/trpc,1860,2020-07-18,3711,218,0,TypeScript,0.89
files-community/Files,2421,2019-01-04,5337,123,0,C#,0.95
makeplane/plane,1006,2022-11-19,5591,48,0,TypeScript,0.66
photoprism/photoprism,2763,2018-01-27,811,78,0,Go,0.82
logseq/logseq,1916,2020-05-23,3066,150,0,Clojure,0.85
PhilJay/MPAndroidChart,4136,2014-04-25,191,44,0,Java,0.58
freefq/free,1901,2020-06-07,0,0,0,Unknown,0.29
impress/impress.js,4985,2011-12-28,120,15,0,JavaScript,0.89
google/leveldb,4012,2014-08-27,64,21,0,C++,0.69
koalaman/shellcheck,4660,2012-11-17,306,30,0,Haskell,0.6
preactjs/preact,3632,2015-09-11,1918,231,0,JavaScript,0.97
appsmithorg/appsmith,1878,2020-06-30,13948,290,0,TypeScript,0.82
ccxt/ccxt,3021,2017-05-14,13368,173,0,Python,0.92
calcom/cal.com,1613,2021-03-22,10523,509,0,TypeScript,0.86
novuhq/novu,1456,2021-08-26,6012,50,0,TypeScript,0.86
goabstract/Awesome-Design-Tools,2382,2019-02-12,283,0,0,JavaScript,0.58
2noise/ChatTTS,451,2024-05-27,214,6,0,Python,0.89
gto76/python-cheatsheet,2765,2018-01-25,14,0,0,Python,0.92
karanpratapsingh/system-design,1102,2022-08-15,11,0,0,Unknown,0.95
FreeCodeCampChina/freecodecamp.cn,3247,2016-09-30,55,0,1,CSS,0.76
LAION-AI/Open-Assistant,982,2022-12-13,1614,127,0,Python,0.86
gofiber/fiber,2044,2020-01-16,1807,127,0,Go,0.95
ant-design/ant-design-pro,2918,2017-08-25,1008,26,0,TypeScript,0.98
cloudcommunity/Free-Certifications,1847,2020-07-31,114,0,0,Unknown,0.65
menloresearch/jan,735,2023-08-17,2674,87,0,TypeScript,0.95
eugenp/tutorials,4497,2013-04-29,13366,0,0,Java,0.98
DataExpert-io/data-engineer-handbook,641,2023-11-19,171,0,0,Jupyter Notebook,0.83
lapce/lapce,2753,2018-02-06,1171,32,0,Rust,0.6
istio/istio,3198,2016-11-18,28434,393,0,Go,0.98
payloadcms/payload,1689,2021-01-05,5819,522,0,TypeScript,0.9
naptha/tesseract.js,3711,2015-06-24,195,56,0,JavaScript,0.96
fastapi/full-stack-fastapi-template,2371,2019-02-23,411,10,0,TypeScript,0.6
TencentARC/GFPGAN,1616,2021-03-19,14,8,0,Python,0.27
dotnet/aspnetcore,4181,2014-03-11,17765,258,0,C#,0.91
dockur/windows,585,2024-01-14,411,104,0,Shell,0.88
0voice/interview_internal_reference,2264,2019-06-10,35,0,0,Python,0.39
Kong/insomnia,3407,2016-04-23,3352,525,0,TypeScript,0.82
freeCodeCamp/devdocs,4319,2013-10-24,926,0,0,Ruby,0.84
inkonchain/docs,471,2024-05-07,393,0,0,MDX,0.39
denysdovhan/wtfjs,2960,2017-07-14,125,25,0,JavaScript,0.81
inkonchain/node,465,2024-05-13,35,6,0,Shell,0.57
Aider-AI/aider,835,2023-05-09,263,93,0,Python,0.73
NervJS/taro,2692,2018-04-08,3392,200,0,TypeScript,0.88
inkonchain/ink-kit,290,2024-11-04,90,0,0,TypeScript,0.75
siyuan-note/siyuan,1817,2020-08-30,481,812,0,TypeScript,0.97
facebookresearch/faiss,3117,2017-02-07,137,20,0,C++,0.91
milvus-io/milvus,2166,2019-09-16,22784,129,0,Go,0.96
exacity/deeplearningbook-chinese,3179,2016-12-07,16,7,0,TeX,0.68
google/googletest,3677,2015-07-28,813,11,0,C++,0.85
huihut/interview,2750,2018-02-09,35,0,0,C++,0.98
vlang/v,2386,2019-02-08,12266,274,0,V,0.89
alibaba/arthas,2549,2018-08-29,540,59,0,Java,0.82
halo-dev/halo,2710,2018-03-21,2615,226,0,Java,0.93
AobingJava/JavaFamily,2109,2019-11-12,2,0,0,Unknown,0.92
satwikkansal/wtfpython,2915,2017-08-28,113,2,0,Python,0.71
babysor/MockingBird,1475,2021-08-07,80,1,0,Python,0.46
docling-project/docling,408,2024-07-09,515,116,0,Python,0.56
openai/gym,3403,2016-04-27,998,19,0,Python,0.94
httpie/cli,4926,2012-02-25,406,47,0,Python,0.8
ToolJet/ToolJet,1605,2021-03-30,6660,319,0,JavaScript,0.87
usebruno/bruno,1059,2022-09-27,1263,140,0,JavaScript,0.61
chatboxai/chatbox,899,2023-03-06,71,47,0,TypeScript,0.64
zbezj/HEU_KMS_Activator,2251,2019-06-23,0,48,0,Unknown,0.15
google-research/google-research,2513,2018-10-04,29,0,0,Jupyter Notebook,0.24
hiroi-sora/Umi-OCR,1242,2022-03-28,56,31,0,Python,0.65
rapid7/metasploit-framework,5105,2011-08-30,11346,0,0,Ruby,0.93
open-guides/og-aws,3326,2016-07-13,498,0,0,Shell,0.38
nushell/nushell,2295,2019-05-10,7902,111,0,Rust,0.78
opentofu/manifesto,739,2023-08-13,765,0,0,HTML,0.54
NanmiCoder/MediaCrawler,804,2023-06-09,101,0,0,Python,0.8
date-fns/date-fns,3972,2014-10-06,1068,122,0,TypeScript,0.68
shadowsocks/shadowsocks-android,4631,2012-12-16,256,185,0,Kotlin,0.98
lerna/lerna,3548,2015-12-04,997,244,0,TypeScript,0.85
docker/compose,4273,2013-12-09,3541,263,0,Go,0.99
crewAIInc/crewAI,664,2023-10-27,936,99,0,Python,0.97
chatchat-space/Langchain-Chatchat,874,2023-03-31,615,31,0,TypeScript,0.97
XingangPan/DragGAN,826,2023-05-18,18,0,0,Python,0.24
SheetJS/sheetjs,4644,2012-12-03,106,0,0,Unknown,0.95
formulahendry/955.WLB,2339,2019-03-27,18,0,0,Unknown,0.31
openai/codex,130,2025-04-13,915,84,0,Rust,0.69
imputnet/cobalt,1140,2022-07-08,243,0,0,Svelte,0.83
geekxh/hello-algorithm,1910,2020-05-29,26,0,0,Java,0.75
typeorm/typeorm,3461,2016-02-29,2176,38,0,TypeScript,0.72
carbon-app/carbon,2988,2017-06-16,668,215,0,JavaScript,0.91
koajs/koa,4415,2013-07-20,522,9,0,JavaScript,0.98
hankcs/HanLP,3969,2014-10-09,79,62,0,Python,0.99
HeyPuter/puter,536,2024-03-03,590,8,0,JavaScript,0.75
alvarotrigo/fullPage.js,4353,2013-09-20,320,105,0,JavaScript,0.97
airbnb/lottie-android,3241,2016-10-06,713,59,0,Java,0.98
kilimchoi/engineering-blogs,3722,2015-06-13,681,0,0,Ruby,0.76
PKUanonym/REKCARC-TSC-UHT,2330,2019-04-05,171,0,0,HTML,0.94
markedjs/marked,5142,2011-07-24,1554,156,0,TypeScript,0.99
zen-browser/desktop,511,2024-03-28,479,115,0,C++,0.94
mindsdb/mindsdb,2576,2018-08-02,5368,311,0,Python,0.99
jondot/awesome-react-native,3801,2015-03-26,912,0,0,JavaScript,0.48
nativefier/nativefier,3700,2015-07-05,261,99,0,TypeScript,0.79
spacedriveapp/spacedrive,1424,2021-09-27,1881,26,0,TypeScript,0.77
junegunn/vim-plug,4363,2013-09-10,177,8,0,Vim Script,0.93
sqlmapproject/sqlmap,4804,2012-06-26,173,10,0,Python,0.99
huggingface/pytorch-image-models,2392,2019-02-02,479,69,0,Python,0.95
twentyhq/twenty,994,2022-12-01,7204,46,0,TypeScript,0.96
sahat/hackathon-starter,4299,2013-11-13,347,17,0,JavaScript,0.99
unknwon/the-way-to-go_ZH_CN,4533,2013-03-24,592,0,0,Go,0
alebcay/awesome-shell,4063,2014-07-07,307,0,0,Unknown,0.37
pola-rs/polars,1926,2020-05-13,11478,226,0,Rust,0.77
bumptech/glide,4427,2013-07-08,571,47,0,Java,0.87
TeamNewPipe/NewPipe,3640,2015-09-03,1661,137,0,Java,0.87
fengdu78/Coursera-ML-AndrewNg-Notes,2847,2017-11-04,13,0,0,HTML,0.22
doocs/leetcode,2531,2018-09-16,4093,21,0,Java,1.0
reworkd/AgentGPT,867,2023-04-07,539,12,0,TypeScript,0.72
mudler/LocalAI,887,2023-03-18,3918,83,0,Go,0.65
microsoft/ai-agents-for-beginners,266,2024-11-28,149,0,0,Jupyter Notebook,0.87
yeongpin/cursor-free-vip,222,2025-01-11,74,69,0,Python,0.46
outline/outline,3378,2016-05-22,3339,147,0,TypeScript,0.97
charmbracelet/bubbletea,2050,2020-01-10,628,62,0,Go,0.8
ghostty-org/ghostty,1241,2022-03-29,2608,1,0,Zig,0.92
sorrycc/awesome-javascript,4069,2014-07-01,393,0,0,Unknown,0.95
BVLC/caffe,4361,2013-09-12,1087,14,0,C++,0.81
chenfei-wu/TaskMatrix,903,2023-03-02,21,0,0,Python,0.38
fastify/fastify,3249,2016-09-28,3135,298,0,JavaScript,0.96
nodejs/node-v0.x-archive,5930,2009-05-27,218,0,0,Unknown,1.0
netty/netty,5399,2010-11-09,4432,0,0,Java,0.91
fxsjy/jieba,4709,2012-09-29,96,9,0,Python,0.26
roboflow/supervision,997,2022-11-28,967,33,0,Python,0.85
jaredpalmer/formik,2990,2017-06-14,829,196,0,TypeScript,0.69
xitu/gold-miner,3578,2015-11-04,3563,0,0,Unknown,1.0
karpathy/LLM101n,451,2024-05-27,0,0,0,Unknown,0
huiyadanli/RevokeMsgPatcher,2223,2019-07-21,11,21,0,C#,0.94
geekan/HowToLiveLonger,1223,2022-04-16,14,0,0,Unknown,0.75
zenorocha/clipboard.js,3625,2015-09-18,117,42,0,JavaScript,0.98
ManimCommunity/manim,1920,2020-05-19,1926,29,0,Python,0.78
portainer/portainer,3381,2016-05-19,4777,162,0,TypeScript,0.9
myshell-ai/OpenVoice,631,2023-11-29,17,0,0,Python,0.21
solidjs/solid,2676,2018-04-24,385,35,0,TypeScript,0.91
llvm/llvm-project,3179,2016-12-07,55656,136,0,LLVM,0.7
testerSunshine/12306,3018,2017-05-17,31,1,0,Python,0.67
jaywcjlove/linux-command,3204,2016-11-12,356,31,0,Markdown,0.64
atlassian/react-beautiful-dnd,2934,2017-08-09,530,68,0,JavaScript,0.65
typicode/husky,4077,2014-06-23,262,80,0,JavaScript,0.93
laravel/framework,4606,2013-01-10,16632,855,0,PHP,1.0
python-poetry/poetry,2731,2018-02-28,2331,142,0,Python,0.92
xkcoding/spring-boot-demo,2841,2017-11-10,15,0,0,Java,0.42
anoma/anoma,1661,2021-02-02,856,10,0,Elixir,0.83
geekcomputers/Python,5013,2011-11-30,1846,0,0,Python,0.31
zsh-users/zsh-autosuggestions,4317,2013-10-26,116,0,0,Shell,0.75
shadowsocks/shadowsocks,4871,2012-04-20,70,2,0,Python,0
halfrost/LeetCode-Go,2956,2017-07-18,178,4,0,Go,0.8
Blankj/AndroidUtilCode,3309,2016-07-30,88,117,0,Java,0.81
alibaba/easyexcel,2753,2018-02-06,190,14,0,Java,0.87
AFNetworking/AFNetworking,5196,2011-05-31,710,40,0,Objective-C,0
zxing/zxing,5062,2011-10-12,318,31,0,Java,0.99
TheAlgorithms/JavaScript,2961,2017-07-13,795,0,0,JavaScript,0.96
deepseek-ai/awesome-deepseek-integration,588,2024-01-11,230,0,0,Unknown,0.31
mattermost/mattermost,3720,2015-06-15,19259,845,0,TypeScript,0.93
aseprite/aseprite,4020,2014-08-19,406,117,0,C++,0.58
ShareX/ShareX,4335,2013-10-08,751,83,0,C#,0.93
veggiemonk/awesome-docker,3987,2014-09-21,939,1,0,Unknown,0.98
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,3799,2015-03-28,98,0,0,JavaScript,0.69
Pythagora-io/gpt-pilot,736,2023-08-16,393,0,0,Python,0.57
ehang-io/nps,2482,2018-11-04,74,59,0,Go,0.58
XX-net/XX-Net,3871,2015-01-15,363,388,0,Python,0.41
exelban/stats,2276,2019-05-29,409,301,0,Swift,0.99
jax-ml/jax,2492,2018-10-25,15091,126,0,Python,0.75
carbon-language/carbon-lang,1942,2020-04-27,4355,410,0,C++,0.79
adobe/brackets,5006,2011-12-07,4332,69,2,JavaScript,0.73
danielmiessler/Fabric,596,2024-01-03,435,248,0,JavaScript,0.86
harness/harness,4213,2014-02-07,1047,53,0,Go,0.96
gulpjs/gulp,4431,2013-07-04,411,24,0,JavaScript,0.99
immutable-js/immutable-js,4068,2014-07-02,598,89,0,TypeScript,0.93
mifi/lossless-cut,3217,2016-10-30,202,100,0,TypeScript,0.87
SeleniumHQ/selenium,4602,2013-01-14,3014,108,0,Java,0.99
bilibili/ijkplayer,4462,2013-06-03,35,0,0,C,0.47
hashicorp/vault,3830,2015-02-25,21302,168,0,Go,0.82
qishibo/AnotherRedisDesktopManager,2417,2019-01-08,152,53,0,JavaScript,0.87
CMU-Perceptual-Computing-Lab/openpose,3041,2017-04-24,174,15,0,C++,0.83
lllyasviel/ControlNet,932,2023-02-01,4,0,0,Python,0.24
YunaiV/ruoyi-vue-pro,1670,2021-01-24,62,44,0,Java,1.0
shadowsocks/ShadowsocksX-NG,3359,2016-06-10,64,30,0,Swift,0.77
PatrickJS/awesome-cursorrules,339,2024-09-16,64,0,0,MDX,0.2
bayandin/awesome-awesomeness,4062,2014-07-08,197,0,0,Ruby,0.76
lib-pku/libpku,2464,2018-11-22,22,0,0,TeX,0.74
TheAlgorithms/C-Plus-Plus,3323,2016-07-16,685,0,0,C++,0.97
AmruthPillai/Reactive-Resume,1975,2020-03-25,633,95,0,TypeScript,0.8
swc-project/swc,2799,2017-12-22,5595,714,0,Rust,0.9
facebookresearch/detectron2,2177,2019-09-05,0,10,0,Python,0.87
qbittorrent/qBittorrent,4947,2012-02-04,3928,0,0,C++,0.86
alan2207/bulletproof-react,1544,2021-05-30,70,0,0,TypeScript,0.67
DataTalksClub/data-engineering-zoomcamp,1400,2021-10-21,395,0,0,Jupyter Notebook,0.99
jqlang/jq,4782,2012-07-18,640,15,0,C,0.84
pnpm/pnpm,3493,2016-01-28,2675,1000,0,TypeScript,0.62
certbot/certbot,3935,2014-11-12,4004,62,0,Python,0.98
pbatard/rufus,5024,2011-11-19,1,84,0,C,1.0
drawdb-io/drawdb,767,2023-07-16,232,0,0,JavaScript,0.65
ibraheemdev/modern-unix,1682,2021-01-12,15,0,0,Unknown,0.36
refinedev/refine,1674,2021-01-20,4425,1000,0,TypeScript,0.98
pcottle/learnGitBranching,4756,2012-08-13,606,0,0,JavaScript,0.91
google/material-design-lite,3872,2015-01-14,655,14,1,HTML,0.83
gchq/CyberChef,3188,2016-11-28,510,447,0,JavaScript,0.59
SerenityOS/serenity,2454,2018-12-02,19525,0,0,C++,0.83
explosion/spaCy,4067,2014-07-03,3590,129,0,Python,0.97
beego/beego,4922,2012-02-29,1325,42,1,Go,1.0
xinntao/Real-ESRGAN,1494,2021-07-19,21,10,0,Python,0.24
CorentinTh/it-tools,1964,2020-04-05,491,10,0,Vue,0.32
duckdb/duckdb,2613,2018-06-26,8206,51,0,C++,0.93
lizongying/my-tv,626,2023-12-04,11,72,0,C,0.84
directus/directus,4635,2012-12-12,8086,342,0,TypeScript,0.97
ueberdosis/tiptap,2558,2018-08-20,1250,897,0,TypeScript,0.78
mckaywrigley/chatbot-ui,894,2023-03-11,280,0,0,TypeScript,0.82
agno-agi/agno,1205,2022-05-04,1745,86,0,Python,0.9
The-Run-Philosophy-Organization/run,1229,2022-04-10,171,0,0,Unknown,0.84
TabbyML/tabby,889,2023-03-16,2969,241,0,Rust,0.78
balena-io/etcher,3586,2015-10-27,1731,289,0,TypeScript,0.77
alibaba/nacos,2624,2018-06-15,3156,84,0,Java,0.97
Chanzhaoyu/chatgpt-web,924,2023-02-09,159,43,0,Vue,1.0
pathwaycom/pathway,998,2022-11-27,5,75,0,Python,0.55
CherryHQ/cherry-studio,454,2024-05-24,1929,191,0,TypeScript,0.92
yewstack/yew,2805,2017-12-16,1802,35,0,Rust,0.91
vercel/swr,2124,2019-10-28,795,123,0,TypeScript,0.85
ziadoz/awesome-php,4286,2013-11-26,453,0,0,Unknown,0.99
chatanywhere/GPT_API_free,851,2023-04-23,1,0,0,Python,0.94
v2fly/v2ray-core,2320,2019-04-15,909,111,0,Go,0.96
Trinea/android-open-project,4246,2014-01-05,204,0,0,Unknown,0.87
binarywang/WxJava,3515,2016-01-06,1053,30,0,Java,0.97
shardeum/shardeum,492,2024-04-16,325,0,0,TypeScript,0.87
mpv-player/mpv,4695,2012-10-13,3500,87,0,C,0.91
vnpy/vnpy,3825,2015-03-02,1055,64,0,Python,0.99
facebookresearch/fairseq,2914,2017-08-29,234,16,0,Python,0.72
